SYM300,3,1197,1197,1197,1197,1197,0,4.8,0.0649,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197
SYM301,3,1435,1435,1435,1435,1435,0,8.9,0.0286,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435
SYM302,3,1408,1408,1408,1408,1408,0,9.4,0.0269,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408
SYM300,5,1765,1765,1828,1783.9,1765,29.4,189.7,1.0215,1765,1828,1765,1765,1765,1765,1828,1765,1765,1828
SYM301,5,2090,2090,2155,2108.7,2104,12.48888889,273,1.5769,2104,2090,2104,2104,2112,2155,2104,2090,2112,2112
SYM302,5,2008,2008,2071,2033.2,2008,33.6,366.2,1.5399,2071,2008,2008,2008,2071,2071,2008,2008,2008,2071
SYM500,3,1278,1278,1298,1284.4,1278,8.533333333,173.9,1.8861,1278,1298,1278,1291,1278,1278,1291,1278,1278,1296
SYM501,3,1178,1178,1188,1181,1178,4.666666667,233.8,1.8324,1178,1178,1188,1178,1178,1188,1178,1188,1178,1178
SYM502,3,1615,1615,1615,1615,1615,0,62.2,0.3025,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
SYM500,5,2054,2054,2193,2090.8,2077.5,36.35555556,414.1,3.1892,2084,2137,2193,2084,2054,2054,2106,2054,2071,2071
SYM501,5,1760,1760,1801,1772,1760,16,442.7,2.3308,1760,1801,1760,1760,1788,1788,1783,1760,1760,1760
SYM502,5,2525,2525,2550,2541.1,2541,3.733333333,382,3.6814,2541,2541,2525,2549,2550,2541,2541,2541,2541,2541
SYM500,10,4121,4121,4217,4149.8,4121,44.8,246.6,2.0006,4121,4217,4121,4121,4121,4121,4121,4121,4217,4217
SYM501,10,4166,4166,4166,4166,4166,0,35.2,0.1464,4166,4166,4166,4166,4166,4166,4166,4166,4166,4166
SYM502,10,4979,4979,5415,5064.3,4979,113.7333333,136.5,1.9871,5415,4979,5118,4979,4979,5118,4979,4979,5118,4979
SYM700,3,1360,1360,1365,1363.6,1365,1.866666667,270,6.1618,1362,1360,1365,1365,1365,1365,1365,1362,1362,1365
SYM701,3,1448,1448,1465,1452.8,1450.5,4.8,398.6,6.1669,1451,1448,1465,1457,1450,1448,1451,1450,1458,1450
SYM702,3,1521,1521,1521,1521,1521,0,200.8,1.5618,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521
SYM700,5,2028,2037,2175,2115,2108.5,38.22222222,563.9,5.8827,2124,2175,2105,2099,2066,2037,2172,2099,2112,2161
SYM701,5,2165,2165,2365,2243.3,2243,63.51111111,509.3,5.9929,2243,2243,2270,2165,2354,2170,2365,2183,2270,2170
SYM702,5,2210,2210,2315,2257.4,2252,39.86666667,716.5,5.539,2301,2257,2247,2210,2285,2315,2231,2308,2210,2210
SYM700,10,4979,4979,5319,5137.3,5124,97.51111111,210.3,5.3288,5265,5055,5319,5265,4979,5124,5124,5139,5124,4979
SYM701,10,4787,4885,5082,4986.5,4972,49.77777778,303.5,5.7831,4998,5010,4972,4944,5080,4885,4950,4972,5082,4972
SYM702,10,4997,4997,5372,5189.3,5210.5,96.2,306.7,5.5148,5239,4997,5372,5292,5195,5141,5239,5226,5195,4997
